stem,image_path,label_path,num_boxes,avg_confidence,IoU,Precision,Recall,F1,TP,FP,FN,num_pred_boxes,num_gt_boxes
rgb_14160,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14160.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14160.txt,2,0.3900068402290344,0.5015956493400135,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,2,1
rgb_14224,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14224.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14224.txt,1,0.46195635199546814,0.5925936503732329,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_14273,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14273.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14273.txt,1,0.43516311049461365,0.6180725964618052,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_14333,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14333.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14333.txt,2,0.4209820032119751,0.7432170201205217,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,2,1
rgb_14420,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14420.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14420.txt,1,0.4434151351451874,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
rgb_14586,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14586.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14586.txt,1,0.37533143162727356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
rgb_14629,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14629.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14629.txt,1,0.6100455522537231,0.9078422257274191,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_14647,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14647.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14647.txt,1,0.3980568051338196,0.95807854136731,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_14664,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14664.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14664.txt,2,0.39352113008499146,0.9178366404967936,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,2,1
rgb_14708,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14708.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14708.txt,1,0.6888938546180725,0.9713707655065714,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_14713,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14713.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14713.txt,1,0.5749550461769104,0.9785383158810189,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_14750,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14750.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14750.txt,1,0.7280753254890442,0.9529764570571859,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_14798,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14798.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14798.txt,1,0.7165336012840271,0.9229637570916557,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_14905,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_14905.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_14905.txt,1,0.5683193206787109,0.9760085682220853,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15071,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15071.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15071.txt,1,0.5773844122886658,0.9429486223994036,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15073,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15073.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15073.txt,1,0.622376561164856,0.9680248621907003,1.0,1.0,1.0,1.0,0.0,0.0,1,1
